numero_report,inizio_range,fine_range,data_report,rt_puntuale,rt_range_inizio,rt_range_fine
9,2020/7/6,2020/7/12,2020/7/14,1.01,,
10,2020/7/13,2020/7/19,2020/7/21,0.95,,
11,2020/7/20,2020/7/26,2020/7/28,0.98,,
12,2020/7/27,2020/8/2,2020/8/4,1.01,,
13,2020/8/3,2020/8/9,2020/8/11,0.96,0.75,1.2
14,2020/8/10,2020/8/16,2020/8/18,0.83,0.67,1.06
15,2020/8/17,2020/8/23,2020/8/25,1.18,0.86,1.43
16,2020/8/24,2020/8/30,2020/9/1,1.18,0.86,1.43
17,2020/8/31,2020/9/6,2020/9/8,1.14,0.71,1.53
18,2020/9/7,2020/9/13,2020/9/15,0.92,0.79,1.17
19,2020/9/14,2020/9/20,2020/9/22,0.95,0.88,1.05
20,2020/9/21,2020/9/27,2020/9/29,1.01,0.88,1.08
21,2020/9/28,2020/10/4,2020/10/6,1.06,0.97,1.16
22,2020/10/5,2020/10/11,2020/10/13,1.17,1.03,1.50
23,2020/10/12,2020/10/18,2020/10/20,1.50,1.09,1.75
24,2020/10/19,2020/10/25,2020/10/27,1.70,1.49,1.85
25,2020/10/26,2020/11/1,2020/11/9,1.72,1.45,1.83
26,2020/11/2,2020/11/8,2020/11/11,1.43,1.08,1.81
27,2020/11/9,2020/11/15,2020/11/18,1.18,0.94,1.49
28,2020/11/16,2020/11/22,2020/11/25,1.08,0.91,1.25
29,2020/11/23,2020/11/29,2020/12/3,0.91,0.79,1.08
30,2020/11/30,2020/12/6,2020/12/9,0.82,0.76,0.91
31,2020/12/7,2020/12/13,2020/12/16,0.86,0.79,0.94
32,2020/12/14,2020/12/20,2020/12/22,0.90,0.87,0.97
33,2020/12/21,2020/12/27,2020/12/29,0.93,0.89,1.02
34,2020/12/28,2021/1/3,2021/1/5,1.03,0.98,1.13
35,2021/1/4,2021/1/10,2021/1/13,1.09,1.04,1.13
36,2021/1/11,2021/1/17,2021/1/20,0.97,0.85,1.11
37,2021/1/18,2021/1/24,2021/1/27,0.84,0.75,0.98
38,2021/1/25,2021/1/31,2021/2/3,0.84,0.76,1.02
39,2021/2/1,2021/2/7,2021/2/10,0.95,0.86,1.06
40,2021/2/8,2021/2/14,2021/2/17,0.99,0.95,1.07
41,2021/2/15,2021/2/21,2021/2/24,0.99,0.93,1.03
42,2021/2/22,2021/2/28,2021/3/3,1.06,0.98,1.20
43,2021/3/1,2021/3/7,2021/3/10,1.16,1.02,1.24
44,2021/3/8,2021/3/14,2021/3/17,1.16,1.02,1.26
45,2021/3/15,2021/3/21,2021/3/24,1.08,0.93,1.21
46,2021/3/22,2021/3/28,2021/3/31,0.98,0.87,1.11
47,2021/3/29,2021/4/4,2021/4/7,0.92,0.82,1.01
48,2021/4/5,2021/4/11,2021/4/14,0.85,0.71,0.97
49,2021/4/12,2021/4/18,2021/4/21,0.81,0.77,0.89
50,2021/04/19,2021/04/25,2021/4/28,0.85,0.80,0.91
51,2021/4/26,2021/5/2,2021/5/5,0.89,0.85,0.91
52,2021/5/3,2021/5/9,2021/5/12,0.86,0.74,0.94
53,2021/5/10,2021/5/16,2021/5/19,0.78,0.71,0.90